2023-05-04 14:48:03,028 - DEBUG - [info] number of GPUs: 3
2023-05-04 14:48:03,032 - DEBUG - [info] number of GPUs: 3
2023-05-04 14:48:03,036 - DEBUG - [info] number of GPUs: 3
2023-05-04 14:48:03,044 - DEBUG - [info] world_size: 3
2023-05-04 14:48:03,047 - DEBUG - [info] world_size: 3
2023-05-04 14:48:03,049 - DEBUG - train_files: 73
2023-05-04 14:48:03,049 - DEBUG - val_files: 18
2023-05-04 14:48:03,052 - DEBUG - [info] world_size: 3
2023-05-04 14:48:03,056 - DEBUG - train_files: 73
2023-05-04 14:48:03,056 - DEBUG - train_files: 73
2023-05-04 14:48:03,057 - DEBUG - val_files: 19
2023-05-04 14:48:03,057 - DEBUG - val_files: 18
2023-05-04 14:48:05,351 - DEBUG - num_epochs: 200
2023-05-04 14:48:05,351 - DEBUG - num_epochs_per_validation: 2
2023-05-04 14:48:06,115 - DEBUG - [info] training from scratch
2023-05-04 14:48:06,116 - DEBUG - [info] training from scratch
2023-05-04 14:48:06,116 - DEBUG - [info] amp enabled
2023-05-04 14:48:06,121 - DEBUG - [info] training from scratch
2023-05-04 14:48:06,146 - DEBUG - ----------
2023-05-04 14:48:06,146 - DEBUG - epoch 1/200
2023-05-04 14:48:06,146 - DEBUG - learning rate is set to 0.2
2023-05-04 14:48:57,387 - DEBUG - [2023-05-04 14:48:57] 8/73, train_loss: 0.8792
2023-05-04 14:48:58,445 - DEBUG - [2023-05-04 14:48:58] 8/73, train_loss: 0.8786
2023-05-04 14:48:59,501 - DEBUG - [2023-05-04 14:48:59] 8/73, train_loss: 0.8653
2023-05-04 14:49:00,579 - DEBUG - [2023-05-04 14:49:00] 9/73, train_loss: 0.9079
2023-05-04 14:49:01,631 - DEBUG - [2023-05-04 14:49:01] 9/73, train_loss: 0.8912
2023-05-04 14:49:02,683 - DEBUG - [2023-05-04 14:49:02] 9/73, train_loss: 0.9063
2023-05-04 14:49:03,731 - DEBUG - [2023-05-04 14:49:03] 9/73, train_loss: 0.8760
2023-05-04 14:49:04,808 - DEBUG - [2023-05-04 14:49:04] 10/73, train_loss: 0.8354
2023-05-04 14:49:05,858 - DEBUG - [2023-05-04 14:49:05] 10/73, train_loss: 0.8593
2023-05-04 14:49:06,909 - DEBUG - [2023-05-04 14:49:06] 10/73, train_loss: 0.8120
2023-05-04 14:49:07,965 - DEBUG - [2023-05-04 14:49:07] 10/73, train_loss: 0.8410
2023-05-04 14:49:09,037 - DEBUG - [2023-05-04 14:49:09] 11/73, train_loss: 0.8301
2023-05-04 14:49:10,100 - DEBUG - [2023-05-04 14:49:10] 11/73, train_loss: 0.8551
2023-05-04 14:49:11,153 - DEBUG - [2023-05-04 14:49:11] 11/73, train_loss: 0.8482
2023-05-04 14:49:12,208 - DEBUG - [2023-05-04 14:49:12] 11/73, train_loss: 0.8820
2023-05-04 14:49:13,282 - DEBUG - [2023-05-04 14:49:13] 12/73, train_loss: 0.8245
2023-05-04 14:49:14,332 - DEBUG - [2023-05-04 14:49:14] 12/73, train_loss: 0.8163
2023-05-04 14:49:15,384 - DEBUG - [2023-05-04 14:49:15] 12/73, train_loss: 0.8112
2023-05-04 14:49:16,452 - DEBUG - [2023-05-04 14:49:16] 12/73, train_loss: 0.8300
2023-05-04 14:49:17,522 - DEBUG - [2023-05-04 14:49:17] 13/73, train_loss: 0.8489
2023-05-04 14:49:18,580 - DEBUG - [2023-05-04 14:49:18] 13/73, train_loss: 0.8311
2023-05-04 14:49:19,630 - DEBUG - [2023-05-04 14:49:19] 13/73, train_loss: 0.7996
2023-05-04 14:49:20,679 - DEBUG - [2023-05-04 14:49:20] 13/73, train_loss: 0.8614
2023-05-04 14:49:21,744 - DEBUG - [2023-05-04 14:49:21] 14/73, train_loss: 0.8344
2023-05-04 14:49:22,802 - DEBUG - [2023-05-04 14:49:22] 14/73, train_loss: 0.8267
2023-05-04 14:49:23,847 - DEBUG - [2023-05-04 14:49:23] 14/73, train_loss: 0.7926
2023-05-04 14:49:24,901 - DEBUG - [2023-05-04 14:49:24] 14/73, train_loss: 0.8030
2023-05-04 14:49:25,974 - DEBUG - [2023-05-04 14:49:25] 15/73, train_loss: 0.8388
2023-05-04 14:49:27,046 - DEBUG - [2023-05-04 14:49:27] 15/73, train_loss: 0.8046
2023-05-04 14:49:28,102 - DEBUG - [2023-05-04 14:49:28] 15/73, train_loss: 0.7859
2023-05-04 14:49:29,151 - DEBUG - [2023-05-04 14:49:29] 15/73, train_loss: 0.8127
2023-05-04 14:49:30,228 - DEBUG - [2023-05-04 14:49:30] 16/73, train_loss: 0.8200
2023-05-04 14:49:31,278 - DEBUG - [2023-05-04 14:49:31] 16/73, train_loss: 0.7986
2023-05-04 14:49:32,337 - DEBUG - [2023-05-04 14:49:32] 16/73, train_loss: 0.8221
2023-05-04 14:49:33,390 - DEBUG - [2023-05-04 14:49:33] 16/73, train_loss: 0.8709
2023-05-04 14:49:34,470 - DEBUG - [2023-05-04 14:49:34] 17/73, train_loss: 0.8076
2023-05-04 14:49:35,518 - DEBUG - [2023-05-04 14:49:35] 17/73, train_loss: 0.8103
2023-05-04 14:49:36,573 - DEBUG - [2023-05-04 14:49:36] 17/73, train_loss: 0.8562
2023-05-04 14:49:37,636 - DEBUG - [2023-05-04 14:49:37] 17/73, train_loss: 0.8181
2023-05-04 14:49:38,713 - DEBUG - [2023-05-04 14:49:38] 18/73, train_loss: 0.7498
2023-05-04 14:49:39,756 - DEBUG - [2023-05-04 14:49:39] 18/73, train_loss: 0.8404
2023-05-04 14:49:40,822 - DEBUG - [2023-05-04 14:49:40] 18/73, train_loss: 0.7556
2023-05-04 14:49:41,871 - DEBUG - [2023-05-04 14:49:41] 18/73, train_loss: 0.8049
2023-05-04 14:49:42,943 - DEBUG - [2023-05-04 14:49:42] 19/73, train_loss: 0.8865
2023-05-04 14:49:43,993 - DEBUG - [2023-05-04 14:49:43] 19/73, train_loss: 0.7776
2023-05-04 14:49:45,045 - DEBUG - [2023-05-04 14:49:45] 19/73, train_loss: 0.8082
2023-05-04 14:49:46,100 - DEBUG - [2023-05-04 14:49:46] 19/73, train_loss: 0.8067
2023-05-04 14:49:47,189 - DEBUG - [2023-05-04 14:49:47] 20/73, train_loss: 0.8469
2023-05-04 14:49:48,253 - DEBUG - [2023-05-04 14:49:48] 20/73, train_loss: 0.8011
2023-05-04 14:49:49,308 - DEBUG - [2023-05-04 14:49:49] 20/73, train_loss: 0.8563
2023-05-04 14:49:50,354 - DEBUG - [2023-05-04 14:49:50] 20/73, train_loss: 0.7817
2023-05-04 14:49:51,431 - DEBUG - [2023-05-04 14:49:51] 21/73, train_loss: 0.7702
2023-05-04 14:49:52,482 - DEBUG - [2023-05-04 14:49:52] 21/73, train_loss: 0.8061
2023-05-04 14:49:53,531 - DEBUG - [2023-05-04 14:49:53] 21/73, train_loss: 0.7112
2023-05-04 14:49:54,594 - DEBUG - [2023-05-04 14:49:54] 21/73, train_loss: 0.7777
2023-05-04 14:49:55,662 - DEBUG - [2023-05-04 14:49:55] 22/73, train_loss: 0.8299
2023-05-04 14:49:56,720 - DEBUG - [2023-05-04 14:49:56] 22/73, train_loss: 0.7812
2023-05-04 14:49:57,761 - DEBUG - [2023-05-04 14:49:57] 22/73, train_loss: 0.7924
2023-05-04 14:49:58,820 - DEBUG - [2023-05-04 14:49:58] 22/73, train_loss: 0.8199
2023-05-04 14:49:59,891 - DEBUG - [2023-05-04 14:49:59] 23/73, train_loss: 0.7915
2023-05-04 14:50:00,952 - DEBUG - [2023-05-04 14:50:00] 23/73, train_loss: 0.7636
2023-05-04 14:50:02,003 - DEBUG - [2023-05-04 14:50:02] 23/73, train_loss: 0.7978
2023-05-04 14:50:03,056 - DEBUG - [2023-05-04 14:50:03] 23/73, train_loss: 0.7982
2023-05-04 14:50:04,122 - DEBUG - [2023-05-04 14:50:04] 24/73, train_loss: 0.8745
2023-05-04 14:50:05,180 - DEBUG - [2023-05-04 14:50:05] 24/73, train_loss: 0.8170
2023-05-04 14:50:06,256 - DEBUG - [2023-05-04 14:50:06] 24/73, train_loss: 0.7547
2023-05-04 14:50:07,319 - DEBUG - [2023-05-04 14:50:07] 24/73, train_loss: 0.8185
2023-05-04 14:50:08,395 - DEBUG - [2023-05-04 14:50:08] 25/73, train_loss: 0.7953
2023-05-04 14:50:09,441 - DEBUG - [2023-05-04 14:50:09] 25/73, train_loss: 0.7289
2023-05-04 14:50:10,504 - DEBUG - [2023-05-04 14:50:10] 25/73, train_loss: 0.7708
2023-05-04 14:50:11,667 - DEBUG - [2023-05-04 14:50:11] 25/73, train_loss: 0.7876
2023-05-04 14:50:12,742 - DEBUG - [2023-05-04 14:50:12] 26/73, train_loss: 0.8107
2023-05-04 14:50:13,807 - DEBUG - [2023-05-04 14:50:13] 26/73, train_loss: 0.7693
2023-05-04 14:50:14,870 - DEBUG - [2023-05-04 14:50:14] 26/73, train_loss: 0.7889
2023-05-04 14:50:15,923 - DEBUG - [2023-05-04 14:50:15] 26/73, train_loss: 0.8100
2023-05-04 14:50:17,202 - DEBUG - [2023-05-04 14:50:17] 27/73, train_loss: 0.8333
2023-05-04 14:50:18,248 - DEBUG - [2023-05-04 14:50:18] 27/73, train_loss: 0.7827
2023-05-04 14:50:19,296 - DEBUG - [2023-05-04 14:50:19] 27/73, train_loss: 0.8090
2023-05-04 14:50:20,340 - DEBUG - [2023-05-04 14:50:20] 27/73, train_loss: 0.8034
2023-05-04 14:50:21,406 - DEBUG - [2023-05-04 14:50:21] 28/73, train_loss: 0.8109
2023-05-04 14:50:22,464 - DEBUG - [2023-05-04 14:50:22] 28/73, train_loss: 0.8046
2023-05-04 14:50:23,509 - DEBUG - [2023-05-04 14:50:23] 28/73, train_loss: 0.8219
2023-05-04 14:50:24,559 - DEBUG - [2023-05-04 14:50:24] 28/73, train_loss: 0.7956
2023-05-04 14:50:25,640 - DEBUG - [2023-05-04 14:50:25] 29/73, train_loss: 0.7475
2023-05-04 14:50:26,692 - DEBUG - [2023-05-04 14:50:26] 29/73, train_loss: 0.8054
2023-05-04 14:50:27,746 - DEBUG - [2023-05-04 14:50:27] 29/73, train_loss: 0.8393
2023-05-04 14:50:28,802 - DEBUG - [2023-05-04 14:50:28] 29/73, train_loss: 0.7711
2023-05-04 14:50:29,879 - DEBUG - [2023-05-04 14:50:29] 30/73, train_loss: 0.7138
2023-05-04 14:50:30,941 - DEBUG - [2023-05-04 14:50:30] 30/73, train_loss: 0.8243
2023-05-04 14:50:31,991 - DEBUG - [2023-05-04 14:50:31] 30/73, train_loss: 0.8099
2023-05-04 14:50:33,045 - DEBUG - [2023-05-04 14:50:33] 30/73, train_loss: 0.7965
2023-05-04 14:50:34,119 - DEBUG - [2023-05-04 14:50:34] 31/73, train_loss: 0.7745
2023-05-04 14:50:35,169 - DEBUG - [2023-05-04 14:50:35] 31/73, train_loss: 0.8263
2023-05-04 14:50:36,232 - DEBUG - [2023-05-04 14:50:36] 31/73, train_loss: 0.7754
2023-05-04 14:50:37,302 - DEBUG - [2023-05-04 14:50:37] 31/73, train_loss: 0.7901
2023-05-04 14:50:38,377 - DEBUG - [2023-05-04 14:50:38] 32/73, train_loss: 0.7881
2023-05-04 14:50:39,433 - DEBUG - [2023-05-04 14:50:39] 32/73, train_loss: 0.7305
2023-05-04 14:50:40,484 - DEBUG - [2023-05-04 14:50:40] 32/73, train_loss: 0.7589
2023-05-04 14:50:41,532 - DEBUG - [2023-05-04 14:50:41] 32/73, train_loss: 0.7506
2023-05-04 14:50:42,604 - DEBUG - [2023-05-04 14:50:42] 33/73, train_loss: 0.6679
2023-05-04 14:50:43,660 - DEBUG - [2023-05-04 14:50:43] 33/73, train_loss: 0.7426
2023-05-04 14:50:44,709 - DEBUG - [2023-05-04 14:50:44] 33/73, train_loss: 0.7241
2023-05-04 14:50:45,760 - DEBUG - [2023-05-04 14:50:45] 33/73, train_loss: 0.7812
2023-05-04 14:50:46,830 - DEBUG - [2023-05-04 14:50:46] 34/73, train_loss: 0.7527
2023-05-04 14:50:47,883 - DEBUG - [2023-05-04 14:50:47] 34/73, train_loss: 0.7646
2023-05-04 14:50:48,944 - DEBUG - [2023-05-04 14:50:48] 34/73, train_loss: 0.7743
2023-05-04 14:50:49,997 - DEBUG - [2023-05-04 14:50:49] 34/73, train_loss: 0.8217
2023-05-04 14:50:51,085 - DEBUG - [2023-05-04 14:50:51] 35/73, train_loss: 0.8384
2023-05-04 14:50:52,139 - DEBUG - [2023-05-04 14:50:52] 35/73, train_loss: 0.7881
2023-05-04 14:50:53,189 - DEBUG - [2023-05-04 14:50:53] 35/73, train_loss: 0.8002
2023-05-04 14:50:54,240 - DEBUG - [2023-05-04 14:50:54] 35/73, train_loss: 0.7745
2023-05-04 14:50:55,316 - DEBUG - [2023-05-04 14:50:55] 36/73, train_loss: 0.8476
2023-05-04 14:50:56,368 - DEBUG - [2023-05-04 14:50:56] 36/73, train_loss: 0.7564
2023-05-04 14:50:57,419 - DEBUG - [2023-05-04 14:50:57] 36/73, train_loss: 0.7091
2023-05-04 14:50:58,477 - DEBUG - [2023-05-04 14:50:58] 36/73, train_loss: 0.7053
2023-05-04 14:50:59,579 - DEBUG - [2023-05-04 14:50:59] 37/73, train_loss: 0.7987
2023-05-04 14:51:00,632 - DEBUG - [2023-05-04 14:51:00] 37/73, train_loss: 0.8553
2023-05-04 14:51:01,683 - DEBUG - [2023-05-04 14:51:01] 37/73, train_loss: 0.7658
2023-05-04 14:51:02,732 - DEBUG - [2023-05-04 14:51:02] 37/73, train_loss: 0.8198
2023-05-04 14:51:03,808 - DEBUG - [2023-05-04 14:51:03] 38/73, train_loss: 0.7371
2023-05-04 14:51:04,860 - DEBUG - [2023-05-04 14:51:04] 38/73, train_loss: 0.7285
2023-05-04 14:51:05,912 - DEBUG - [2023-05-04 14:51:05] 38/73, train_loss: 0.8071
2023-05-04 14:51:06,959 - DEBUG - [2023-05-04 14:51:06] 38/73, train_loss: 0.6772
2023-05-04 14:51:08,031 - DEBUG - [2023-05-04 14:51:08] 39/73, train_loss: 0.8629
2023-05-04 14:51:09,081 - DEBUG - [2023-05-04 14:51:09] 39/73, train_loss: 0.7255
2023-05-04 14:51:10,151 - DEBUG - [2023-05-04 14:51:10] 39/73, train_loss: 0.7678
2023-05-04 14:51:11,200 - DEBUG - [2023-05-04 14:51:11] 39/73, train_loss: 0.8632
2023-05-04 14:51:12,272 - DEBUG - [2023-05-04 14:51:12] 40/73, train_loss: 0.7956
2023-05-04 14:51:13,318 - DEBUG - [2023-05-04 14:51:13] 40/73, train_loss: 0.7439
2023-05-04 14:51:14,372 - DEBUG - [2023-05-04 14:51:14] 40/73, train_loss: 0.6565
2023-05-04 14:51:15,420 - DEBUG - [2023-05-04 14:51:15] 40/73, train_loss: 0.6869
2023-05-04 14:51:16,501 - DEBUG - [2023-05-04 14:51:16] 41/73, train_loss: 0.7321
2023-05-04 14:51:17,550 - DEBUG - [2023-05-04 14:51:17] 41/73, train_loss: 0.6822
2023-05-04 14:51:18,604 - DEBUG - [2023-05-04 14:51:18] 41/73, train_loss: 0.6984
2023-05-04 14:51:19,656 - DEBUG - [2023-05-04 14:51:19] 41/73, train_loss: 0.6022
2023-05-04 14:51:20,747 - DEBUG - [2023-05-04 14:51:20] 42/73, train_loss: 0.7072
2023-05-04 14:51:21,792 - DEBUG - [2023-05-04 14:51:21] 42/73, train_loss: 0.6980
2023-05-04 14:51:22,852 - DEBUG - [2023-05-04 14:51:22] 42/73, train_loss: 0.6837
2023-05-04 14:51:23,927 - DEBUG - [2023-05-04 14:51:23] 42/73, train_loss: 0.7074
2023-05-04 14:51:24,997 - DEBUG - [2023-05-04 14:51:24] 43/73, train_loss: 0.6962
2023-05-04 14:51:26,045 - DEBUG - [2023-05-04 14:51:26] 43/73, train_loss: 0.6524
2023-05-04 14:51:27,103 - DEBUG - [2023-05-04 14:51:27] 43/73, train_loss: 0.7256
2023-05-04 14:51:28,170 - DEBUG - [2023-05-04 14:51:28] 43/73, train_loss: 0.6138
2023-05-04 14:51:29,248 - DEBUG - [2023-05-04 14:51:29] 44/73, train_loss: 0.7686
2023-05-04 14:51:30,300 - DEBUG - [2023-05-04 14:51:30] 44/73, train_loss: 0.7544
2023-05-04 14:51:31,353 - DEBUG - [2023-05-04 14:51:31] 44/73, train_loss: 0.7404
2023-05-04 14:51:32,403 - DEBUG - [2023-05-04 14:51:32] 44/73, train_loss: 0.7080
2023-05-04 14:51:33,477 - DEBUG - [2023-05-04 14:51:33] 45/73, train_loss: 0.7041
2023-05-04 14:51:34,528 - DEBUG - [2023-05-04 14:51:34] 45/73, train_loss: 0.6942
2023-05-04 14:51:35,573 - DEBUG - [2023-05-04 14:51:35] 45/73, train_loss: 0.7609
2023-05-04 14:51:36,634 - DEBUG - [2023-05-04 14:51:36] 45/73, train_loss: 0.7399
2023-05-04 14:51:37,706 - DEBUG - [2023-05-04 14:51:37] 46/73, train_loss: 0.7109
2023-05-04 14:51:38,757 - DEBUG - [2023-05-04 14:51:38] 46/73, train_loss: 0.6316
2023-05-04 14:51:39,890 - DEBUG - [2023-05-04 14:51:39] 46/73, train_loss: 0.7101
2023-05-04 14:51:40,951 - DEBUG - [2023-05-04 14:51:40] 46/73, train_loss: 0.6888
2023-05-04 14:51:42,020 - DEBUG - [2023-05-04 14:51:42] 47/73, train_loss: 0.6392
2023-05-04 14:51:43,072 - DEBUG - [2023-05-04 14:51:43] 47/73, train_loss: 0.6496
2023-05-04 14:51:44,124 - DEBUG - [2023-05-04 14:51:44] 47/73, train_loss: 0.7223
2023-05-04 14:51:45,177 - DEBUG - [2023-05-04 14:51:45] 47/73, train_loss: 0.6261
2023-05-04 14:51:46,463 - DEBUG - [2023-05-04 14:51:46] 48/73, train_loss: 0.7431
2023-05-04 14:51:47,510 - DEBUG - [2023-05-04 14:51:47] 48/73, train_loss: 0.7229
2023-05-04 14:51:48,580 - DEBUG - [2023-05-04 14:51:48] 48/73, train_loss: 0.7260
2023-05-04 14:51:49,627 - DEBUG - [2023-05-04 14:51:49] 48/73, train_loss: 0.7767
2023-05-04 14:51:50,704 - DEBUG - [2023-05-04 14:51:50] 49/73, train_loss: 0.6211
2023-05-04 14:51:51,752 - DEBUG - [2023-05-04 14:51:51] 49/73, train_loss: 0.6695
2023-05-04 14:51:52,804 - DEBUG - [2023-05-04 14:51:52] 49/73, train_loss: 0.6281
2023-05-04 14:51:53,857 - DEBUG - [2023-05-04 14:51:53] 49/73, train_loss: 0.6549
2023-05-04 14:51:54,929 - DEBUG - [2023-05-04 14:51:54] 50/73, train_loss: 0.6597
2023-05-04 14:51:55,983 - DEBUG - [2023-05-04 14:51:55] 50/73, train_loss: 0.7093
2023-05-04 14:51:57,039 - DEBUG - [2023-05-04 14:51:57] 50/73, train_loss: 0.6107
2023-05-04 14:51:58,089 - DEBUG - [2023-05-04 14:51:58] 50/73, train_loss: 0.6558
2023-05-04 14:51:59,164 - DEBUG - [2023-05-04 14:51:59] 51/73, train_loss: 0.6202
2023-05-04 14:52:00,215 - DEBUG - [2023-05-04 14:52:00] 51/73, train_loss: 0.7648
2023-05-04 14:52:01,264 - DEBUG - [2023-05-04 14:52:01] 51/73, train_loss: 0.5972
2023-05-04 14:52:02,315 - DEBUG - [2023-05-04 14:52:02] 51/73, train_loss: 0.6914
2023-05-04 14:52:03,385 - DEBUG - [2023-05-04 14:52:03] 52/73, train_loss: 0.7602
2023-05-04 14:52:04,454 - DEBUG - [2023-05-04 14:52:04] 52/73, train_loss: 0.7433
2023-05-04 14:52:05,504 - DEBUG - [2023-05-04 14:52:05] 52/73, train_loss: 0.6924
2023-05-04 14:52:06,559 - DEBUG - [2023-05-04 14:52:06] 52/73, train_loss: 0.5768
2023-05-04 14:52:07,630 - DEBUG - [2023-05-04 14:52:07] 53/73, train_loss: 0.6449
2023-05-04 14:52:08,681 - DEBUG - [2023-05-04 14:52:08] 53/73, train_loss: 0.6926
2023-05-04 14:52:09,733 - DEBUG - [2023-05-04 14:52:09] 53/73, train_loss: 0.7805
2023-05-04 14:52:10,784 - DEBUG - [2023-05-04 14:52:10] 53/73, train_loss: 0.6882
2023-05-04 14:52:11,857 - DEBUG - [2023-05-04 14:52:11] 54/73, train_loss: 0.7076
2023-05-04 14:52:12,908 - DEBUG - [2023-05-04 14:52:12] 54/73, train_loss: 0.6437
2023-05-04 14:52:13,960 - DEBUG - [2023-05-04 14:52:13] 54/73, train_loss: 0.7667
2023-05-04 14:52:15,009 - DEBUG - [2023-05-04 14:52:15] 54/73, train_loss: 0.5948
2023-05-04 14:52:16,088 - DEBUG - [2023-05-04 14:52:16] 55/73, train_loss: 0.6395
2023-05-04 14:52:17,132 - DEBUG - [2023-05-04 14:52:17] 55/73, train_loss: 0.6038
2023-05-04 14:52:18,192 - DEBUG - [2023-05-04 14:52:18] 55/73, train_loss: 0.6615
2023-05-04 14:52:19,242 - DEBUG - [2023-05-04 14:52:19] 55/73, train_loss: 0.6640
2023-05-04 14:52:20,310 - DEBUG - [2023-05-04 14:52:20] 56/73, train_loss: 0.7235
2023-05-04 14:52:21,360 - DEBUG - [2023-05-04 14:52:21] 56/73, train_loss: 0.6100
2023-05-04 14:52:22,420 - DEBUG - [2023-05-04 14:52:22] 56/73, train_loss: 0.6279
2023-05-04 14:52:23,473 - DEBUG - [2023-05-04 14:52:23] 56/73, train_loss: 0.6155
2023-05-04 14:52:24,537 - DEBUG - [2023-05-04 14:52:24] 57/73, train_loss: 0.6737
2023-05-04 14:52:25,603 - DEBUG - [2023-05-04 14:52:25] 57/73, train_loss: 0.6066
2023-05-04 14:52:26,666 - DEBUG - [2023-05-04 14:52:26] 57/73, train_loss: 0.6667
2023-05-04 14:52:27,767 - DEBUG - [2023-05-04 14:52:27] 57/73, train_loss: 0.6576
2023-05-04 14:52:28,840 - DEBUG - [2023-05-04 14:52:28] 58/73, train_loss: 0.7329
2023-05-04 14:52:29,891 - DEBUG - [2023-05-04 14:52:29] 58/73, train_loss: 0.6760
2023-05-04 14:52:30,941 - DEBUG - [2023-05-04 14:52:30] 58/73, train_loss: 0.6395
2023-05-04 14:52:31,998 - DEBUG - [2023-05-04 14:52:31] 58/73, train_loss: 0.6879
2023-05-04 14:52:33,071 - DEBUG - [2023-05-04 14:52:33] 59/73, train_loss: 0.7017
2023-05-04 14:52:34,128 - DEBUG - [2023-05-04 14:52:34] 59/73, train_loss: 0.6673
2023-05-04 14:52:35,176 - DEBUG - [2023-05-04 14:52:35] 59/73, train_loss: 0.6974
2023-05-04 14:52:36,222 - DEBUG - [2023-05-04 14:52:36] 59/73, train_loss: 0.5756
2023-05-04 14:52:37,293 - DEBUG - [2023-05-04 14:52:37] 60/73, train_loss: 0.5842
2023-05-04 14:52:38,338 - DEBUG - [2023-05-04 14:52:38] 60/73, train_loss: 0.5904
2023-05-04 14:52:39,390 - DEBUG - [2023-05-04 14:52:39] 60/73, train_loss: 0.6096
2023-05-04 14:52:40,439 - DEBUG - [2023-05-04 14:52:40] 60/73, train_loss: 0.6849
2023-05-04 14:52:41,510 - DEBUG - [2023-05-04 14:52:41] 61/73, train_loss: 0.7509
2023-05-04 14:52:42,557 - DEBUG - [2023-05-04 14:52:42] 61/73, train_loss: 0.6746
2023-05-04 14:52:43,603 - DEBUG - [2023-05-04 14:52:43] 61/73, train_loss: 0.6639
2023-05-04 14:52:44,647 - DEBUG - [2023-05-04 14:52:44] 61/73, train_loss: 0.6541
